Object URL,Tags
"https://d1qs43ndkrnxwa.cloudfront.net/loris/co6/6429.jp2/full/680,/0/default.jpg","""food: 3, art: 2, still life: 2, man: 2, indoors: 2, woman: 2, painting: 2, plate: 2, cup: 2, no person: 1, container: 1, people: 1, grow: 1, one: 1, jar: 1, cooking: 1, kitchenware: 1, business: 1, retro: 1, adult: 1, money: 1, bowl: 1, science: 1, brown wooden framed wall decor: 1, bread beside jar painting: 1, still life photography: 1, dishware: 1, serveware: 1, photography: 1, artwork: 1, tableware: 1, dinnerware set: 1, pottery: 1, goblet: 1, glass: 1, coffee cup: 1, furniture: 1, saucer: 1, bread: 1, alcohol: 1, beer: 1, beverage: 1, drink: 1, jug: 1, bell jar: 1, protective covering: 1, lp: 1, memory device: 1, drum: 1, percussion instrument: 1, musical instrument: 1, phonograph record: 1, recording: 1, light brown color: 1, reddish brown color: 1, a cup of coffee: 1, sitting: 1, small: 1, old: 1, table: 1, brown: 1, banana: 1, black: 1, white: 1, holding: 1, red: 1, cat: 1"","
https://lh6.ggpht.com/dXQZuPrbO3uX_LkMicRkhxFVJ4eJtoxWfFsN74Ersv1GUa4xjfdQC1GskglT6A=s1200,"""furniture: 4, table: 4, room: 3, chair: 3, indoors: 3, street: 2, monochrome: 2, city: 2, window: 2, desk: 2, urban: 2, office: 2, black: 2, building: 2, alley: 2, no person: 1, people: 1, seat: 1, architecture: 1, house: 1, family: 1, business: 1, art: 1, black wooden framed glass panel: 1, gray gang chair and graffiti wall art: 1, black-and-white: 1, interior design: 1, monochrome photography: 1, still life photography: 1, photography: 1, human: 1, person: 1, road: 1, town: 1, electronics: 1, wall: 1, leisure activities: 1, alleyway: 1, laundry: 1, basement: 1, support: 1, supporting structure: 1, gray color: 1, black color: 1, a chair in a room: 1, indoor: 1, living: 1, sitting: 1, photo: 1, small: 1, white: 1, bed: 1, laptop: 1, bench: 1, computer: 1, kitchen: 1, old: 1, bedroom: 1, covered: 1, woman: 1, stove: 1"","
https://lh6.ggpht.com/qVIUwdnMPE_xzQL7REk37fQV3yukUiqH1uNZlW4RxIuhtsfwHO4HhE7-EkYk=s1200,"""painting: 3, art: 3, portrait: 3, woman: 2, person: 2, clothing: 2, illustration: 1, nymph: 1, vintage: 1, artistic: 1, print: 1, people: 1, impressionism: 1, retro: 1, wear: 1, dress: 1, princess: 1, fashion: 1, canvas: 1, pastel: 1, fairy: 1, one: 1, woman in white dress painting: 1, woman in white top painting: 1, lady: 1, watercolor paint: 1, self-portrait: 1, retro style: 1, visual arts: 1, modern art: 1, human: 1, photo: 1, photography: 1, face: 1, apparel: 1, oil paint: 1, paint: 1, headdress: 1, reddish orange color: 1, luisa casati looking at the camera: 1, looking: 1, wearing: 1, front: 1, standing: 1, holding: 1, old: 1, hair: 1, glass: 1, man: 1, large: 1, young: 1, display: 1, water: 1"","
"https://d1qs43ndkrnxwa.cloudfront.net/loris/co6/34087.jp2/full/680,/0/default.jpg","""wood: 2, wooden: 2, stick: 2, tool: 2, retro: 1, no person: 1, alphabet: 1, carpentry: 1, furniture: 1, carve: 1, writing: 1, empty: 1, design: 1, antique: 1, art: 1, old: 1, rustic: 1, disjunct: 1, dirty: 1, hardwood: 1, typeset: 1, typography: 1, brown wooden 2-door cabinet: 1, brown furniture leg: 1, cane: 1, axe: 1, ax head: 1, inclined plane: 1, machine: 1, mechanical device: 1, hatchet: 1, ax: 1, cutlery: 1, boomerang: 1, weapon: 1, tomahawk: 1, reddish brown color: 1, dark red color: 1, a wooden table: 1, dark: 1, sitting: 1, table: 1, mirror: 1, standing: 1, room: 1, man: 1"","
https://lh5.ggpht.com/WhgGUr6UInPUX3ilvSDgiMBPMVPlR_itZMIXvPIvJbd38ceOHcuSkZ6FzLP0=s1200,"""painting: 4, art: 3, nature: 3, tree: 2, old: 2, landscape: 2, illustration: 1, no person: 1, religion: 1, travel: 1, visuals: 1, cave: 1, color: 1, wall: 1, image: 1, fall: 1, artistic: 1, wood: 1, deep: 1, print: 1, green and brown abstract painting: 1, painting of trees: 1, modern art: 1, visual arts: 1, watercolor paint: 1, acrylic paint: 1, artwork: 1, formation: 1, plant: 1, mural: 1, oil paint: 1, paint: 1, indoors: 1, fabric: 1, olive green color: 1, greenishness color: 1, a painting of a canyon: 1, canyon: 1, mountain: 1, grass: 1, forest: 1, field: 1, colorful: 1, grazing: 1, train: 1"","
https://lh3.ggpht.com/TbYpthtj7II7CaV17DryD2fG_xMOyCgOm_c5JEHZxf5hydaYCJYkdTJYtpxfFQ=s1200,"""painting: 4, art: 3, water: 3, wave: 2, modern art: 2, animal: 2, bird: 2, canvas: 1, artistic: 1, illustration: 1, visuals: 1, graphic: 1, abstract: 1, texture: 1, watercolor: 1, color: 1, pastel: 1, design: 1, creativity: 1, impression: 1, pattern: 1, paper: 1, brush: 1, stain: 1, green and blue abstract painting: 1, trees and grass painting: 1, acrylic paint: 1, watercolor paint: 1, visual arts: 1, landscape: 1, wind wave: 1, nature: 1, outdoors: 1, oil paint: 1, paint: 1, encaustic paint: 1, ultramarine color: 1, greenish blue color: 1, a painting of a waterfall: 1, mountain: 1, riding: 1, man: 1, standing: 1, sitting: 1, brown: 1, large: 1, blue: 1, waterfall: 1, covered: 1, young: 1, horse: 1, colorful: 1, surfing: 1, group: 1, field: 1, grazing: 1, zebra: 1, white: 1, snow: 1, laying: 1, herd: 1"","
https://upload.wikimedia.org/wikipedia/commons/d/df/Paul_C%C3%A9zanne_-_Interior_of_a_forest_-_Google_Art_Project.jpg,"""tree: 5, nature: 3, forest: 3, plant: 3, rainforest: 2, green: 2, wood: 1, leaf: 1, landscape: 1, jungle: 1, no person: 1, mist: 1, dawn: 1, desktop: 1, color: 1, fall: 1, park: 1, branch: 1, lush: 1, guidance: 1, flora: 1, summer: 1, barbaric: 1, offensive: 1, green trees painting: 1, natural environment: 1, northern hardwood forest: 1, woodland: 1, old-growth forest: 1, vegetation: 1, tropical and subtropical coniferous forests: 1, painting: 1, art: 1, cottage: 1, house: 1, building: 1, housing: 1, outdoors: 1, alpine ash: 1, eucalyptus: 1, new zealand beech: 1, black beech: 1, loblolly pine: 1, pine tree: 1, greenishness color: 1, a tree in a forest: 1, grass: 1, field: 1, wooded: 1, area: 1, sitting: 1, grazing: 1, red: 1, black: 1, standing: 1, bench: 1, large: 1, giraffe: 1, yellow: 1, grassy: 1, white: 1, group: 1"","
https://lh3.ggpht.com/H8iLs4PJZLlbpq4k9TL8BWaxWh9Tr3y369NLzHiDn5qWYwnF3GO0Uueij5U=s1200,"""art: 3, portrait: 3, painting: 3, man: 2, photography: 2, drawing: 2, photo: 2, one: 1, no person: 1, wear: 1, people: 1, adult: 1, paper: 1, vintage: 1, retro: 1, woman: 1, print: 1, monochrome: 1, snow: 1, nude: 1, antique: 1, desktop: 1, illustration: 1, offensive: 1, helga matura grayscale photo: 1, photograph: 1, lady: 1, black-and-white: 1, stock photography: 1, chest: 1, long hair: 1, face: 1, sketch: 1, skin: 1, outdoors: 1, canvas: 1, nature: 1, person: 1, passe-partout (frame): 1, framework: 1, supporting structure: 1, silverpoint: 1, black color: 1, ash grey color: 1, a waterfall in the background: 1, white: 1, waterfall: 1, laying: 1, water: 1, cat: 1"","
https://upload.wikimedia.org/wikipedia/commons/1/19/Edward_Burne-Jones_-_Ariadne_-_Google_Art_Project.jpg,"""painting: 3, art: 3, person: 3, portrait: 2, man: 2, clothing: 2, people: 1, one: 1, adult: 1, wear: 1, woman: 1, print: 1, illustration: 1, coat: 1, veil: 1, outerwear: 1, vintage: 1, lid: 1, retro: 1, model: 1, girl: 1, music: 1, black and yellow long sleeve shirt: 1, woman wearing black dress holding drinking glass painting \\: 1, human: 1, apparel: 1, oil paint: 1, paint: 1, fish: 1, bottle green color: 1, a man standing in front of a door: 1, standing: 1, holding: 1, front: 1, black: 1, walking: 1, wearing: 1, young: 1, street: 1, door: 1, boy: 1, large: 1, suit: 1, riding: 1, water: 1, rain: 1, old: 1, umbrella: 1, board: 1, night: 1, white: 1, room: 1"","
"https://d1qs43ndkrnxwa.cloudfront.net/loris/co6/106817.jp2/full/680,/0/default.jpg","""sculpture: 2, standing: 2, no person: 1, one: 1, wear: 1, isolated: 1, fashion: 1, man: 1, figure: 1, steel: 1, woman: 1, cutout: 1, leather: 1, adult: 1, indoors: 1, people: 1, retro: 1, military: 1, contemporary: 1, chrome: 1, glazed: 1, black handled knife with sheath: 1, man wearing coat figurine: 1, figurine: 1, outerwear: 1, formal wear: 1, gentleman: 1, toy: 1, statue: 1, neck: 1, art: 1, jar: 1, pottery: 1, vase: 1, appliance: 1, coat: 1, overcoat: 1, clothing: 1, apparel: 1, museum (indoor): 1, cruet (bottle): 1, bottle: 1, toby jug: 1, drinking vessel: 1, lamp: 1, bottle green color: 1, charcoal color: 1, indoor: 1, table: 1, sitting: 1, black: 1, pair: 1, clock: 1, white: 1, desk: 1, holding: 1"","
